image_path,question,real_answer,formatted_pred,prediction
amt,How many white blocks are showing?,5,4,4
tdiuc_templates,How many people are there?,7,9,9
imported_genome,How many motorcycles are there?,6,10,10
imported_genome,How many boards are there?,4,5,5
tdiuc_templates,How many bananas can be seen?,8,30,30
tdiuc_templates,How many couches are in the photo?,2,2,2
imported_vqa,How many people are on the ski lift?,2,2,2
imported_vqa,How many people are in this photo?,6,8,8
tdiuc_templates,How many people can you see?,4,4,4
imported_genome,How many people are wearing gloves?,5,5,5
tdiuc_templates,How many cars are in the photo?,4,7,seven
imported_vqa,How many colors on the umbrella?,8,7,seven
imported_genome,How many windsurfers are riding the winds at the moment in the image?,6,5,5
imported_genome,How many people are in the room?,6,5,5
imported_vqa,How many zebras are there?,6,5,5
amt,How many times can you see the bottom of the snowboard?,4,1,1
imported_genome,How many people are in the court?,5,2,2
imported_genome,How many people can be plainly seen?,7,7,seven
tdiuc_templates,How many bottles can you see?,7,7,7
imported_genome,How many candles are there?,2,0,0
imported_genome,How many people appear in this photo?,5,6,6
imported_genome,How many dogs in picture?,1,1,one
tdiuc_templates,How many people can be seen?,7,20,20
tdiuc_templates,How many people are in the picture?,9,-1,more than ten
tdiuc_templates,How many cell phones are in the photo?,10,12,12
tdiuc_templates,How many people are visible?,7,7,seven
tdiuc_templates,How many cups can you see?,5,6,6
amt,How many silver handles are visible?,5,3,3
tdiuc_templates,How many knives can be seen?,1,1,1
generate,How many chairs are there?,0,1,one
imported_genome,How many plates are there?,3,3,3
imported_vqa,How many people are there?,5,7,seven
imported_vqa,How many zebras?,12,15,15
tdiuc_templates,How many boats can be seen?,3,6,6
tdiuc_templates,How many people can you see?,7,10,10
tdiuc_templates,How many broccolis are in the picture?,5,3,3
imported_genome,How many skiers are pictured?,5,10,10
tdiuc_templates,How many people are visible?,7,-1,more than ten
generate,How many elephants are there?,0,0,zero
tdiuc_templates,How many people are there?,7,8,8
tdiuc_templates,How many oranges are in the photo?,6,7,7
imported_vqa,How many chairs do you see?,5,6,6
imported_vqa,How many people are on the field?,5,5,five
imported_genome,How many pizzas are there?,9,6,6
imported_genome,How many umbrellas are there?,5,6,6
tdiuc_templates,How many people can be seen?,9,-1,many
imported_vqa,How many people are in this family photo?,12,12,12
tdiuc_templates,How many people are in the picture?,11,-1,more than ten
imported_genome,How many cars are visible?,6,6,6
tdiuc_templates,How many people can you see?,6,-1,more than ten
tdiuc_templates,How many umbrellas are there?,6,6,6
tdiuc_templates,How many people are there?,2,3,three
tdiuc_templates,How many boats are there?,3,2,two
tdiuc_templates,How many people are there?,6,-1,many
imported_genome,How many people are there?,1,1,1
tdiuc_templates,How many sandwiches are in the photo?,4,4,4
tdiuc_templates,How many people can you see?,13,-1,many
imported_vqa,How many boards are there?,1,1,one
imported_vqa,How many trucks are in front of the plane?,3,3,three
imported_genome,How many people are visible?,0,0,0
imported_genome,How many ears are visible?,5,5,5
imported_vqa,How many different numbers are shown?,5,3,3
imported_genome,How many people are there?,7,10,10
tdiuc_templates,How many apples can be seen?,3,0,0
tdiuc_templates,How many vases are visible?,10,10,ten
generate,How many visible train cars have flat roofs?,0,1,one
